TE1,"Woodlands North","1.447924","103.785555"
TE2,"Woodlands","1.437094","103.786483"
TE3,"Woodlands South","1.427244","103.793996"
TE4,"Springleaf","",""
TE5,"Lentor","",""
TE6,"Mayflower","",""
TE7,"Bright Hill","",""
TE8,"Upper Thomson","",""
TE9,"Caldecott","",""
TE10,"Mount Pleasant","",""
TE11,"Stevens","",""
TE12,"Napier","",""
TE13,"Orchard Boulevard","",""
TE14,"Orchard","",""
TE15,"Great World","",""
TE16,"Havelock","",""
TE17,"Outram Park","",""
TE18,"Maxwell","",""
TE20,"Shenton Way","",""
TE21,"Marina Bay","",""
TE22,"Gardens by the Bay","",""
TE22A,"Founders' Memorial","",""
TE23,"Tanjong Rhu","",""
TE24,"Katong Park","",""
TE25,"Tanjong Katong","",""
TE26,"Marine Parade","",""
TE27,"Marine Terrace","",""
TE28,"Siglap","",""
TE29,"Bayshore","",""
TE30,"Bedok South","",""
TE31,"Sungei Bedok","",""
